Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
AFPRL 24100 - Puerto Rican History to 1897 ,AFPRL,AFPRL 24100 , Puerto Rican History to 1897 ,24100 ,Africana and Puerto Rican/Latino Studies
AFPRL 24200 - Puerto Rican History Since 1898 ,AFPRL,AFPRL 24200 , Puerto Rican History Since 1898 ,24200 ,Africana and Puerto Rican/Latino Studies
AFPRL 24300 - Puerto Rican Culture ,AFPRL,AFPRL 24300 , Puerto Rican Culture ,24300 ,Africana and Puerto Rican/Latino Studies
AFPRL 24400 - Puerto Ricans in the United States ,AFPRL,AFPRL 24400 , Puerto Ricans in the United States ,24400 ,Africana and Puerto Rican/Latino Studies
AFPRL 24500 - Puerto Rican Literature I ,AFPRL,AFPRL 24500 , Puerto Rican Literature I ,24500 ,Africana and Puerto Rican/Latino Studies
AFPRL 24600 - Puerto Rican Literature II ,AFPRL,AFPRL 24600 , Puerto Rican Literature II ,24600 ,Africana and Puerto Rican/Latino Studies
AFPRL 24700 - Puerto Ricans in the U.S. as a Literary Theme ,AFPRL,AFPRL 24700 , Puerto Ricans in the U.S. as a Literary Theme ,24700 ,Africana and Puerto Rican/Latino Studies
AFPRL 25500 - Puerto Rican/Latino Children in North American Schools ,AFPRL,AFPRL 25500 , Puerto Rican/Latino Children in North American Schools ,25500 ,Africana and Puerto Rican/Latino Studies
AFPRL 26000 - Latinos and US Citizenship ,AFPRL,AFPRL 26000 , Latinos and US Citizenship ,26000 ,Africana and Puerto Rican/Latino Studies
AFPRL 27000 - Economic History of Puerto Ricans ,AFPRL,AFPRL 27000 , Economic History of Puerto Ricans ,27000 ,Africana and Puerto Rican/Latino Studies
AFPRL 28100 - Fieldwork in African American/Latino Communities ,AFPRL,AFPRL 28100 , Fieldwork in African American/Latino Communities ,28100 ,Africana and Puerto Rican/Latino Studies
AFPRL 29000 - Selected Topics in Africana and Puerto Rican/Latino Studies ,AFPRL,AFPRL 29000 , Selected Topics in Africana and Puerto Rican/Latino Studies ,29000 ,Africana and Puerto Rican/Latino Studies
AFPRL 30400 - Leaders and Movements of Black Urban Communities  ,AFPRL,AFPRL 30400 , Leaders and Movements of Black Urban Communities  ,30400 ,Africana and Puerto Rican/Latino Studies
AFPRL 30600 - Modern African International Relations  ,AFPRL,AFPRL 30600 , Modern African International Relations  ,30600 ,Africana and Puerto Rican/Latino Studies
AFPRL 30700 - Contemporary African Politics  ,AFPRL,AFPRL 30700 , Contemporary African Politics  ,30700 ,Africana and Puerto Rican/Latino Studies
AFPRL 30800 - Contemporary International Relations of the African-Caribbean  ,AFPRL,AFPRL 30800 , Contemporary International Relations of the African-Caribbean  ,30800 ,Africana and Puerto Rican/Latino Studies
AFPRL 30900 - African-Americans and Africa  ,AFPRL,AFPRL 30900 , African-Americans and Africa  ,30900 ,Africana and Puerto Rican/Latino Studies
AFPRL 31000 - Modern Nigeria  ,AFPRL,AFPRL 31000 , Modern Nigeria  ,31000 ,Africana and Puerto Rican/Latino Studies
AFPRL 31300 - Slavery  ,AFPRL,AFPRL 31300 , Slavery  ,31300 ,Africana and Puerto Rican/Latino Studies
AFPRL 31800 - Women in Africa  ,AFPRL,AFPRL 31800 , Women in Africa  ,31800 ,Africana and Puerto Rican/Latino Studies
AFPRL 31900 - Women in the African Diaspora  ,AFPRL,AFPRL 31900 , Women in the African Diaspora  ,31900 ,Africana and Puerto Rican/Latino Studies
AFPRL 32000 - African-Caribbean Culture  ,AFPRL,AFPRL 32000 , African-Caribbean Culture  ,32000 ,Africana and Puerto Rican/Latino Studies
AFPRL 32100 - Caribbean Migration and New York City  ,AFPRL,AFPRL 32100 , Caribbean Migration and New York City  ,32100 ,Africana and Puerto Rican/Latino Studies
AFPRL 33600 - African-American Women Writers  ,AFPRL,AFPRL 33600 , African-American Women Writers  ,33600 ,Africana and Puerto Rican/Latino Studies
AFPRL 33700 - Caribbean Women Writers  ,AFPRL,AFPRL 33700 , Caribbean Women Writers  ,33700 ,Africana and Puerto Rican/Latino Studies
AFPRL 34200 - Political Nationalism in Puerto Rico  ,AFPRL,AFPRL 34200 , Political Nationalism in Puerto Rico  ,34200 ,Africana and Puerto Rican/Latino Studies
AFPRL 35100 - Major Puerto Rican Figures  ,AFPRL,AFPRL 35100 , Major Puerto Rican Figures  ,35100 ,Africana and Puerto Rican/Latino Studies
AFPRL 35200 - Power Structure in Puerto Rico  ,AFPRL,AFPRL 35200 , Power Structure in Puerto Rico  ,35200 ,Africana and Puerto Rican/Latino Studies
AFPRL 35500 - The African Image in 19th and 20th century Spanish Antillean Poetry  ,AFPRL,AFPRL 35500 , The African Image in 19th and 20th century Spanish Antillean Poetry  ,35500 ,Africana and Puerto Rican/Latino Studies
AFPRL 35600 - Latino Literature in English  ,AFPRL,AFPRL 35600 , Latino Literature in English  ,35600 ,Africana and Puerto Rican/Latino Studies
AFPRL 36000 - Politics in Puerto Rico  ,AFPRL,AFPRL 36000 , Politics in Puerto Rico  ,36000 ,Africana and Puerto Rican/Latino Studies
AFPRL 36200 - Puerto Rican and Caribbean Religious Practices  ,AFPRL,AFPRL 36200 , Puerto Rican and Caribbean Religious Practices  ,36200 ,Africana and Puerto Rican/Latino Studies
AFPRL 38400 - Poverty in Society  ,AFPRL,AFPRL 38400 , Poverty in Society  ,38400 ,Africana and Puerto Rican/Latino Studies
AFPRL 38700 - Puerto Rican/Latino Politics in the United States  ,AFPRL,AFPRL 38700 , Puerto Rican/Latino Politics in the United States  ,38700 ,Africana and Puerto Rican/Latino Studies
AFPRL 39000 - Research Topics in Africana and Puerto Rican/Latino Studies  ,AFPRL,AFPRL 39000 , Research Topics in Africana and Puerto Rican/Latino Studies  ,39000 ,Africana and Puerto Rican/Latino Studies
AFPRL 42800 - Selected Topics in Africana and Puerto Rican/Latino Studies: Social Science ,AFPRL,AFPRL 42800 , Selected Topics in Africana and Puerto Rican/Latino Studies: Social Science ,42800 ,Africana and Puerto Rican/Latino Studies
AFPRL 42863 - Afro-Latino Culture and History ,AFPRL,AFPRL 42863 , Afro-Latino Culture and History ,42863 ,Africana and Puerto Rican/Latino Studies
AFPRL 44500 - Caribbean Short Story in Spanish: Readings and Theories ,AFPRL,AFPRL 44500 , Caribbean Short Story in Spanish: Readings and Theories ,44500 ,Africana and Puerto Rican/Latino Studies
AFPRL 49900 - Honors ,AFPRL,AFPRL 49900 , Honors ,49900 ,Africana and Puerto Rican/Latino Studies
AFPRL 18100 - Language and Ethnic Identity ,AFPRL,AFPRL 18100 , Language and Ethnic Identity ,18100 ,Africana and Puerto Rican/Latino Studies
AFPRL 18200 - Culture and Ethnic Identity ,AFPRL,AFPRL 18200 , Culture and Ethnic Identity ,18200 ,Africana and Puerto Rican/Latino Studies
AFPRL 24800 - Caribbean Spanish ,AFPRL,AFPRL 24800 , Caribbean Spanish ,24800 ,Africana and Puerto Rican/Latino Studies
AFPRL 27600 - The Puerto Rican Family ,AFPRL,AFPRL 27600 , The Puerto Rican Family ,27600 ,Africana and Puerto Rican/Latino Studies
AFPRL 31400 - Blacks in Labor and Politics  ,AFPRL,AFPRL 31400 , Blacks in Labor and Politics  ,31400 ,Africana and Puerto Rican/Latino Studies
AFPRL 32200 - African World View: Philosophy and Symbolic Thought  ,AFPRL,AFPRL 32200 , African World View: Philosophy and Symbolic Thought  ,32200 ,Africana and Puerto Rican/Latino Studies
AFPRL 32300 - Islam and Christianity in Africa  ,AFPRL,AFPRL 32300 , Islam and Christianity in Africa  ,32300 ,Africana and Puerto Rican/Latino Studies
AFPRL 32400 - African-American Ethnohistory  ,AFPRL,AFPRL 32400 , African-American Ethnohistory  ,32400 ,Africana and Puerto Rican/Latino Studies
AFPRL 33000 - Autobiography as a Theme in Black Literature  ,AFPRL,AFPRL 33000 , Autobiography as a Theme in Black Literature  ,33000 ,Africana and Puerto Rican/Latino Studies
AFPRL 37000 - Sociolinguistic Fieldwork in Black and Puerto Rican/Latino Speech Communities  ,AFPRL,AFPRL 37000 , Sociolinguistic Fieldwork in Black and Puerto Rican/Latino Speech Communities  ,37000 ,Africana and Puerto Rican/Latino Studies
AFPRL 40100 - Pan-Africanism ,AFPRL,AFPRL 40100 , Pan-Africanism ,40100 ,Africana and Puerto Rican/Latino Studies
AFPRL 40200 - African American Political Thought ,AFPRL,AFPRL 40200 , African American Political Thought ,40200 ,Africana and Puerto Rican/Latino Studies
AFPRL 40300 - Development Strategies in the African-Caribbean ,AFPRL,AFPRL 40300 , Development Strategies in the African-Caribbean ,40300 ,Africana and Puerto Rican/Latino Studies
AFPRL 42000 - The Black Church and Social Change ,AFPRL,AFPRL 42000 , The Black Church and Social Change ,42000 ,Africana and Puerto Rican/Latino Studies
AFPRL 44200 - History of Puerto Rican Labor Movements ,AFPRL,AFPRL 44200 , History of Puerto Rican Labor Movements ,44200 ,Africana and Puerto Rican/Latino Studies
ANTHC 12600 - Introduction to Prehistoric Archaeology ,ANTHC,ANTHC 12600 , Introduction to Prehistoric Archaeology ,12600 ,Anthropology
ANTHC 12700 - Methods In Archaeological Science ,ANTHC,ANTHC 12700 , Methods In Archaeological Science ,12700 ,Anthropology
ANTHC 22600 - Archaeology of Africa ,ANTHC,ANTHC 22600 , Archaeology of Africa ,22600 ,Anthropology
ANTHC 22700 - Archaeology of Europe ,ANTHC,ANTHC 22700 , Archaeology of Europe ,22700 ,Anthropology
ANTHC 22800 - Archaeology of the Near East to 2000 BC ,ANTHC,ANTHC 22800 , Archaeology of the Near East to 2000 BC ,22800 ,Anthropology
ANTHC 23000 - Prehistory of North American Indians ,ANTHC,ANTHC 23000 , Prehistory of North American Indians ,23000 ,Anthropology
ANTHC 23100 - Archaeology of Mesoamerica ,ANTHC,ANTHC 23100 , Archaeology of Mesoamerica ,23100 ,Anthropology
ANTHC 23200 - Archaeology of South America and the Caribbean ,ANTHC,ANTHC 23200 , Archaeology of South America and the Caribbean ,23200 ,Anthropology
ANTHC 32600 - Rise of Old and New World Civilizations ,ANTHC,ANTHC 32600 , Rise of Old and New World Civilizations ,32600 ,Anthropology
ANTHC 32700 - Prehistoric Cultural Ecology ,ANTHC,ANTHC 32700 , Prehistoric Cultural Ecology ,32700 ,Anthropology
ANTHC 34600 - Analytic Methods in Archaeology ,ANTHC,ANTHC 34600 , Analytic Methods in Archaeology ,34600 ,Anthropology
ANTHC 42600 - Seminar in Archaeological Field Methods ,ANTHC,ANTHC 42600 , Seminar in Archaeological Field Methods ,42600 ,Anthropology
ANTHP 10100  - Human Evolution ,ANTHP,ANTHP 10100  , Human Evolution ,10100  ,Anthropology
ANTHP 10500 - The Human Species ,ANTHP,ANTHP 10500 , The Human Species ,10500 ,Anthropology
ANTHP 21000 - Biology of the Living Primates ,ANTHP,ANTHP 21000 , Biology of the Living Primates ,21000 ,Anthropology
ANTHP 21400 - Theory of Evolution ,ANTHP,ANTHP 21400 , Theory of Evolution ,21400 ,Anthropology
ANTHP 30100 - Human Fossil Record ,ANTHP,ANTHP 30100 , Human Fossil Record ,30100 ,Anthropology
ANTHP 30200 - Human Genetics ,ANTHP,ANTHP 30200 , Human Genetics ,30200 ,Anthropology
ANTHP 30500 - Evolution of the Human Skeleton ,ANTHP,ANTHP 30500 , Evolution of the Human Skeleton ,30500 ,Anthropology
ANTHP 30600 - Human Anatomy ,ANTHP,ANTHP 30600 , Human Anatomy ,30600 ,Anthropology
ANTHP 31000 - Primate Ecology and Behavior ,ANTHP,ANTHP 31000 , Primate Ecology and Behavior ,31000 ,Anthropology
ANTHP 31100 - Primate Evolution ,ANTHP,ANTHP 31100 , Primate Evolution ,31100 ,Anthropology
ANTHP 31200 - Primate Evolutionary Genetics ,ANTHP,ANTHP 31200 , Primate Evolutionary Genetics ,31200 ,Anthropology
ANTHP 31600 - Human Evolutionary Adaptations ,ANTHP,ANTHP 31600 , Human Evolutionary Adaptations ,31600 ,Anthropology
ANTHP 31800 - Primate Nutritional Ecology ,ANTHP,ANTHP 31800 , Primate Nutritional Ecology ,31800 ,Anthropology
ANTHP 40100 - Seminars in Selected Topics ,ANTHP,ANTHP 40100 , Seminars in Selected Topics ,40100 ,Anthropology
ANTHC 10000 - Cultural Diversity in the United States: Historical and Ethnographic Perspectives  ,ANTHC,ANTHC 10000 , Cultural Diversity in the United States: Historical and Ethnographic Perspectives  ,10000 ,Anthropology
ANTHC 10100 - Introduction to Cultural Anthropology ,ANTHC,ANTHC 10100 , Introduction to Cultural Anthropology ,10100 ,Anthropology
ANTHC 20000 - Africa: Societies and Cultures ,ANTHC,ANTHC 20000 , Africa: Societies and Cultures ,20000 ,Anthropology
ANTHC 20100 - The Middle East: Societies and Cultures ,ANTHC,ANTHC 20100 , The Middle East: Societies and Cultures ,20100 ,Anthropology
ANTHC 20400 - East Asia: Societies and Cultures ,ANTHC,ANTHC 20400 , East Asia: Societies and Cultures ,20400 ,Anthropology
ANTHC 21100 - Native North America: Societies and Cultures ,ANTHC,ANTHC 21100 , Native North America: Societies and Cultures ,21100 ,Anthropology
ANTHC 21300 - Latin America: Societies and Cultures ,ANTHC,ANTHC 21300 , Latin America: Societies and Cultures ,21300 ,Anthropology
ANTHC 21400 - The Caribbean: Societies and Cultures ,ANTHC,ANTHC 21400 , The Caribbean: Societies and Cultures ,21400 ,Anthropology
ANTHC 21500 - The Anthropology of Black America  ,ANTHC,ANTHC 21500 , The Anthropology of Black America  ,21500 ,Anthropology
ANTHC 21800 - The Anthropology of the Civil Rights Movement in the U.S. ,ANTHC,ANTHC 21800 , The Anthropology of the Civil Rights Movement in the U.S. ,21800 ,Anthropology
ANTHC 27500 - Reading Ethnographies  ,ANTHC,ANTHC 27500 , Reading Ethnographies  ,27500 ,Anthropology
ANTHC 30100 - Gender in Anthropological Perspective ,ANTHC,ANTHC 30100 , Gender in Anthropological Perspective ,30100 ,Anthropology
ANTHC 30600 - Folklore and Myth ,ANTHC,ANTHC 30600 , Folklore and Myth ,30600 ,Anthropology
ANTHC 30700 - Anthropology of Religion ,ANTHC,ANTHC 30700 , Anthropology of Religion ,30700 ,Anthropology
ANTHC 30800 - Human Ecology ,ANTHC,ANTHC 30800 , Human Ecology ,30800 ,Anthropology
ANTHC 30900 - Countryside and City: Comparative Perspectives ,ANTHC,ANTHC 30900 , Countryside and City: Comparative Perspectives ,30900 ,Anthropology
ANTHC 31000 - Politics and Power in Anthropological Perspective ,ANTHC,ANTHC 31000 , Politics and Power in Anthropological Perspective ,31000 ,Anthropology
ANTHC 31100 - Anthropology of Art ,ANTHC,ANTHC 31100 , Anthropology of Art ,31100 ,Anthropology
ANTHC 31200 - Anthropological Approaches to Sexuality ,ANTHC,ANTHC 31200 , Anthropological Approaches to Sexuality ,31200 ,Anthropology
ANTHC 31400 - Research Design in Anthropology ,ANTHC,ANTHC 31400 , Research Design in Anthropology ,31400 ,Anthropology
ANTHC 31500 - Applied Anthropology ,ANTHC,ANTHC 31500 , Applied Anthropology ,31500 ,Anthropology
ANTHC 31800 - History of Anthropological Theory ,ANTHC,ANTHC 31800 , History of Anthropological Theory ,31800 ,Anthropology
ANTHC 32000 - Problems in Anthropology ,ANTHC,ANTHC 32000 , Problems in Anthropology ,32000 ,Anthropology
ANTHC 32100 - Women and Globalization ,ANTHC,ANTHC 32100 , Women and Globalization ,32100 ,Anthropology
ANTHC 32200 - Family and Household in Anthropology and History ,ANTHC,ANTHC 32200 , Family and Household in Anthropology and History ,32200 ,Anthropology
ANTHC 32500 - Special Projects and Independent Research in Anthropology ,ANTHC,ANTHC 32500 , Special Projects and Independent Research in Anthropology ,32500 ,Anthropology
ANTHC 33200 - East Asia: Societies and Cultures ,ANTHC,ANTHC 33200 , East Asia: Societies and Cultures ,33200 ,Anthropology
ANTHC 33400 - Latin America: Societies and Cultures ,ANTHC,ANTHC 33400 , Latin America: Societies and Cultures ,33400 ,Anthropology
ANTHC 35000 - Popular Culture: Anthropological Perspectives ,ANTHC,ANTHC 35000 , Popular Culture: Anthropological Perspectives ,35000 ,Anthropology
ANTHC 40000 - Honors Projects ,ANTHC,ANTHC 40000 , Honors Projects ,40000 ,Anthropology
ANTHC 40100 - Seminars in Selected Topics ,ANTHC,ANTHC 40100 , Seminars in Selected Topics ,40100 ,Anthropology
ANTHC 40196 - International Migration ,ANTHC,ANTHC 40196 , International Migration ,40196 ,Anthropology
ANTHC 15100 - Introduction to Linguistics ,ANTHC,ANTHC 15100 , Introduction to Linguistics ,15100 ,Anthropology
ANTHC 26000 - North American Indian Languages and Cultures ,ANTHC,ANTHC 26000 , North American Indian Languages and Cultures ,26000 ,Anthropology
ANTHC 26300 - Afro-New World Languages and Cultures ,ANTHC,ANTHC 26300 , Afro-New World Languages and Cultures ,26300 ,Anthropology
"ANTHC 32076 - Language, Sex and Gender ",ANTHC,ANTHC 32076 ," Language, Sex and Gender ",32076 ,Anthropology
ANTHC 35100 - Language in Culture and Society ,ANTHC,ANTHC 35100 , Language in Culture and Society ,35100 ,Anthropology
ANTHC 35300 - Phonological Analysis and Theory ,ANTHC,ANTHC 35300 , Phonological Analysis and Theory ,35300 ,Anthropology
ANTHC 35400 - Grammatical Analysis and Theory ,ANTHC,ANTHC 35400 , Grammatical Analysis and Theory ,35400 ,Anthropology
ANTHC 31600 - Quantitative Methods in Anthropology ,ANTHC,ANTHC 31600 , Quantitative Methods in Anthropology ,31600 ,Anthropology
ANTHC 31700 - Field Methods in Cultural Anthropology ,ANTHC,ANTHC 31700 , Field Methods in Cultural Anthropology ,31700 ,Anthropology
ARB 10100 - Beginning Arabic I ,ARB,ARB 10100 , Beginning Arabic I ,10100 ,Arabic
ARB 10200 - Beginning Arabic II ,ARB,ARB 10200 , Beginning Arabic II ,10200 ,Arabic
ARB 14800 - Beginning Arabic for Heritage Speakers ,ARB,ARB 14800 , Beginning Arabic for Heritage Speakers ,14800 ,Arabic
ARB 14900 - Spoken Egyptian Arabic ,ARB,ARB 14900 , Spoken Egyptian Arabic ,14900 ,Arabic
ARB 20000 - Topics in Arabic Literature and Culture ,ARB,ARB 20000 , Topics in Arabic Literature and Culture ,20000 ,Arabic
ARB 20100 - Intermediate Arabic I ,ARB,ARB 20100 , Intermediate Arabic I ,20100 ,Arabic
ARB 20200 - Intermediate Arabic II ,ARB,ARB 20200 , Intermediate Arabic II ,20200 ,Arabic
ARB 24800 - Intermediate Arabic for Heritage Speakers ,ARB,ARB 24800 , Intermediate Arabic for Heritage Speakers ,24800 ,Arabic
ARB 25000 - The Arab Novel (in translation)  ,ARB,ARB 25000 , The Arab Novel (in translation)  ,25000 ,Arabic
ARB 25100 - Arab Cinema (in translation) ,ARB,ARB 25100 , Arab Cinema (in translation) ,25100 ,Arabic
ARB 25200 - Literatures from the Islamic World  ,ARB,ARB 25200 , Literatures from the Islamic World  ,25200 ,Arabic
ARB 25300 - Literatures and Cultures of Muslim Spain  ,ARB,ARB 25300 , Literatures and Cultures of Muslim Spain  ,25300 ,Arabic
ARB 25400 - The Arabian Nights East and West  ,ARB,ARB 25400 , The Arabian Nights East and West  ,25400 ,Arabic
ARB 25500 - Modern Palestinian Culture ,ARB,ARB 25500 , Modern Palestinian Culture ,25500 ,Arabic
ARB 25600 - Modern Arab Theatre ,ARB,ARB 25600 , Modern Arab Theatre ,25600 ,Arabic
ARB 30000 - Problems in Arabic Literature and Culture ,ARB,ARB 30000 , Problems in Arabic Literature and Culture ,30000 ,Arabic
ARB 30100 - Advanced Arabic I ,ARB,ARB 30100 , Advanced Arabic I ,30100 ,Arabic
ARB 30200 - Advanced Arabic II ,ARB,ARB 30200 , Advanced Arabic II ,30200 ,Arabic
"CLA 20400 - Introduction to Classical, Near Eastern, and Egyptian Archaeology  ",CLA,CLA 20400 ," Introduction to Classical, Near Eastern, and Egyptian Archaeology  ",20400 ,Archaeology
CLA 22000 - Aegean Archaeology  ,CLA,CLA 22000 , Aegean Archaeology  ,22000 ,Archaeology
CLA 22100 - Greek Archaeology  ,CLA,CLA 22100 , Greek Archaeology  ,22100 ,Archaeology
"CLA 22200 - Roman Archaeology I: Etruscans, Monarchy, Republic  ",CLA,CLA 22200 ," Roman Archaeology I: Etruscans, Monarchy, Republic  ",22200 ,Archaeology
CLA 22300 - Roman Archaeology II: The Archaeology of the Roman Empire ,CLA,CLA 22300 , Roman Archaeology II: The Archaeology of the Roman Empire ,22300 ,Archaeology
CLA 22500 - Archaeology of Egypt  ,CLA,CLA 22500 , Archaeology of Egypt  ,22500 ,Archaeology
CLA 22700 - Archaeology of Eastern Mediterranean  ,CLA,CLA 22700 , Archaeology of Eastern Mediterranean  ,22700 ,Archaeology
CLA 32200 - Archaeology of Mesopotamia and Iran  ,CLA,CLA 32200 , Archaeology of Mesopotamia and Iran  ,32200 ,Archaeology
CLA 32300 - Archaeology of Anatolia  ,CLA,CLA 32300 , Archaeology of Anatolia  ,32300 ,Archaeology
CLA 32900 - Problems in Archaeology ,CLA,CLA 32900 , Problems in Archaeology ,32900 ,Archaeology
CLA 33000 - Field Seminar in Archaeology ,CLA,CLA 33000 , Field Seminar in Archaeology ,33000 ,Archaeology
ARTH 11100 - Introduction to History of Art ,ARTH,ARTH 11100 , Introduction to History of Art ,11100 ,Art Theory and History
ARTH 20500 - Egyptian Art ,ARTH,ARTH 20500 , Egyptian Art ,20500 ,Art Theory and History
ARTH 21500 - Greek Art ,ARTH,ARTH 21500 , Greek Art ,21500 ,Art Theory and History
ARTH 21600 - Roman Art ,ARTH,ARTH 21600 , Roman Art ,21600 ,Art Theory and History
ARTH 22000 - Early Medieval Art ,ARTH,ARTH 22000 , Early Medieval Art ,22000 ,Art Theory and History
ARTH 22100 - Later Medieval Art ,ARTH,ARTH 22100 , Later Medieval Art ,22100 ,Art Theory and History
ARTH 22500 - Art of Early Renaissance ,ARTH,ARTH 22500 , Art of Early Renaissance ,22500 ,Art Theory and History
ARTH 22700 - Northern Renaissance Art ,ARTH,ARTH 22700 , Northern Renaissance Art ,22700 ,Art Theory and History
ARTH 23000 - Art of High Renaissance and Later 16th Century in Italy ,ARTH,ARTH 23000 , Art of High Renaissance and Later 16th Century in Italy ,23000 ,Art Theory and History
ARTH 23500 - Southern Baroque Art ,ARTH,ARTH 23500 , Southern Baroque Art ,23500 ,Art Theory and History
ARTH 23700 - Art and Architecture in Colonial Latin America ,ARTH,ARTH 23700 , Art and Architecture in Colonial Latin America ,23700 ,Art Theory and History
ARTH 24000 - Baroque Art of Northern Europe ,ARTH,ARTH 24000 , Baroque Art of Northern Europe ,24000 ,Art Theory and History
ARTH 24300 - Eighteenth-Century Art ,ARTH,ARTH 24300 , Eighteenth-Century Art ,24300 ,Art Theory and History
"ARTH 24400 - Neo-Classicism and Romanticism: the Age of Revolution, 1789-1848 ",ARTH,ARTH 24400 ," Neo-Classicism and Romanticism: the Age of Revolution, 1789-1848 ",24400 ,Art Theory and History
"ARTH 24500 - Issues in 19th-Century French Painting: Realism, Impressionism and Post-Impressionism/Symbolism (1850-1910) ",ARTH,ARTH 24500 ," Issues in 19th-Century French Painting: Realism, Impressionism and Post-Impressionism/Symbolism (1850-1910) ",24500 ,Art Theory and History
ARTH 24600 - American Art 1760-1900 ,ARTH,ARTH 24600 , American Art 1760-1900 ,24600 ,Art Theory and History
ARTH 24700 - Modern Art in Latin American ( until c. 1945) ,ARTH,ARTH 24700 , Modern Art in Latin American ( until c. 1945) ,24700 ,Art Theory and History
ARTH 24900 - Twentieth-Century Art I ,ARTH,ARTH 24900 , Twentieth-Century Art I ,24900 ,Art Theory and History
ARTH 25000 - Twentieth-Century Art II ,ARTH,ARTH 25000 , Twentieth-Century Art II ,25000 ,Art Theory and History
ARTH 25100 - Contemporary Art ,ARTH,ARTH 25100 , Contemporary Art ,25100 ,Art Theory and History
ARTH 25200 - Ancient Architecture ,ARTH,ARTH 25200 , Ancient Architecture ,25200 ,Art Theory and History
ARTH 25300 - Medieval Architecture ,ARTH,ARTH 25300 , Medieval Architecture ,25300 ,Art Theory and History
